unique_id,image_description,generated_caption,semantic_similarity
0c26823ab8,"A man in a suit and tie stands in front of a mountainous landscape during sunset, with a person standing on a rock in the distance. The image is overlaid with text 'I'M SORRY GUTFELD!' and the Fox News logo.",a man in a suit and tie is on the news,0.5174675583839417
05f699047e,A woman in a blue and grey floral blazer stands in front of a building with a blurred background.,a woman in a blue shirt and jacket stands on a wall,0.5429762601852417
1a73cb5482,"Two women are shown with their faces blurred, one with dark hair and a red garment, the other with blonde hair and a white garment, both appear to be speaking into microphones.",a woman with long hair and a red jacket,0.2695462107658386
2b25ccfa7b,"Two men stand at podiums with American flags behind them, one gesturing with his hand, in front of a sign that reads 'VOTE 2024 16TH CONGRESSIONAL DISTRICT DEMOCRATIC PRIMARY DEBATE'.",two men standing at podiums with american flags behind them,0.7462524175643921
302a45e37a,"Two men are seated in armchairs facing each other with a table between them, on which there are various items including a bottle, a bucket, and a lamp.",two men sitting in chairs talking,0.590216875076294
29951696ee,"A woman in a suit with a microphone, with the word 'PAI' in the background.",a woman in a suit and tie holding a microphone,0.7769498825073242
2a6b5cbaee,"A woman stands on a stage with a 'KENNEDY24' sign, waving to an audience with American flags in the background.",a woman in a purple suit stands at a podium with an american flag,0.5036472082138062
2a0ba8942b,"A woman with blonde hair, wearing a black sequined dress, is singing into a microphone on a stage with a blue background.",a woman in a black dress singing into a microphone,0.7903876304626465
0d8b989597,"An image of a person in a suit with a blurred face, standing in front of a podium with a microphone, in a formal setting that appears to be a conference or press event.",a man sitting on a chair with a laptop,0.1012332141399383
0cccbcb9fb,An older man in a dark suit and red tie with an American flag pin on his lapel stands against a red background.,a man in a suit and tie standing in front of a red wall,0.6005176901817322
0e7f60e637,"Two men in suits face each other with microphones in front, set against a striped blue and red background.",two men in suits are facing each other men,0.7272878885269165
0e4c5703a1,"Two women lying on grass, one holding a phone, with a bottle beside them, in a sunny outdoor setting.",two women laying in the grass,0.7642520666122437
2c11f85b5b,"The image shows a classical building with a pediment and columns, featuring bas-relief sculptures. The sky is overcast, and there are trees in the foreground.",the supreme court in washington,0.1118535846471786
099f4a31d2,"Two men in suits, one with a red tie and the other with a blue tie, are shown side by side. The man on the left has a blurred face, while the man on the right is wearing glasses and has a visible American flag pin on his lapel.",two images of president donald and vice sanders,0.3996053040027618
31a9cabe0b,"A group of people holding signs that read 'Cancel Student Debt' and 'Biden: Cancel Student Debt', with one person holding a sign that says 'NAACP'.",a group of people holding signs on a street,0.4608985185623169
02248c1a0d,"Two men stand amidst the wreckage of a downed drone, with debris scattered around and a damaged building in the background.",a man stands in front of the wreckage of a car that was destroyed by a bomb,0.4522090852260589
2abb17a9c1,"A group of military personnel, including a man in a black jacket, saluting, are positioned in front of a line of missiles, with North Korean flags in the background.",a group of men standing next to a large missile,0.6519161462783813
1f98f7ec7a,"Two men stand in front of American flags, one with a small American flag pin on his lapel. The man on the left is wearing a red tie, and the man on the right is wearing a blue tie.",two men in suits and ties standing in front of american flags,0.805512547492981
197998ceeb,"A woman kneels on a wooden bench in a church, her head bowed down, with stained glass windows behind her and a cross visible in the background.",a woman kneeling on a bench in a church,0.8376221060752869
1716582fd3,"A group of individuals seated at a long table in a courtroom setting, with a banner reading 'European Court of Human Rights' behind them.",a group of people sitting at a table,0.5761048793792725
216a8f8502,"The Supreme Court building with a statue of Lady Justice seated on a pedestal, surrounded by columns and a clear blue sky.",a large white building,0.3294700980186462
1358589271,"An older man with white hair and glasses is speaking into a microphone. He is wearing a dark suit and a white shirt. The background is a plain, light-colored wall.",a man in a suit and tie sitting at a table,0.3040198087692261
035faccea9,"An image of a man with a mustache, wearing a dark suit and a white shirt, with a serious expression.",a portrait of a man with a mustache,0.7663949728012085
0f57419e76,A group of police officers stand in front of the Supreme Court building with a camera crew in the foreground.,a group of people standing in front of a building,0.5772433280944824
2f6dd5ceb1,"A series of athletes in various stages of a sprint race, captured from a high angle, with their faces blurred.",a group of people running on a track,0.3753755688667297
31f1e28881,A welcome sign for Downtown Jacksonville with the JAX Chamber logo.,a sign that reads welcome downtown jacksonville,0.8452194333076477
1d9a73d872,A man in a suit and tie holding a folder is seen walking with a woman in sunglasses and a white blouse.,a man and woman walking down a sidewalk,0.3563063740730285
04e668207a,"An older man with glasses and a suit is seen in a formal setting, possibly a courtroom, with a blurred American flag in the background.",a man in a suit and tie with a flag behind him,0.4116615056991577
132f6fe643,"A man in a black suit and tie with his hands raised, smiling, against a blue background with a partial view of a circular object.",a man in a suit and tie is waving,0.6125562787055969
26ddce603c,"A man stands at a podium with a microphone, addressing a group of people seated in front of him. The setting is outdoors with a cliff and sea in the background. The podium is adorned with flowers and a flag.",a group of people standing around a monument,0.4015639722347259
0ea12455d4,A woman with glasses is speaking into a microphone in front of an American flag and several framed certificates on a wall.,a woman in glasses is talking to someone,0.5501088500022888
321491a32e,"A man in a suit stands to the left, a man in a tie stands in the center, and a man in a colorful shirt stands to the right, all raising their hands in front of a crowd. American flags are visible in the background.",a man in a suit and tie waves to a crowd,0.4468737542629242
138bbcd383,"A man in a dark suit and blue tie stands with his mouth open, possibly speaking, with a blurred background of indistinct figures.",a man in a suit and tie is shouting,0.6179085969924927
031c065f4a,"Three individuals are shown in a collage, with the central figure wearing a yellow tie and the others in suits. The background is blurred, and the faces are not visible.",four different faces of president donald and first lady,0.2420322895050048
1ee0b96e81,"The image features a man in a suit with a red tie, seated and gesturing with his hands, with the text 'CREATED EQUAL' and 'CLARENCE THOMAS IN HIS OWN WORDS' visible above him.",a book cover with a man in a suit and tie,0.5235865712165833
0540adca11,The image shows the ExxonMobil logo in pink against a dark background with stock prices listed below it.,the exmol logo is seen on a screen in this illustration,0.494288682937622
2b0930d716,A man in a dark suit and red tie walks through a room with other people in the background.,a man in a suit and tie walking down a street,0.5305726528167725
1cd788dd55,"A man in a suit and tie stands on stage with a crowd of people holding signs, some of which read 'MAGA' and 'FREE RICE'. The audience appears to be booing the speaker.",a man in a suit and tie standing in front of a crowd of people,0.6190803050994873
11c11dca5d,"A man in a white shirt and blue tie gestures with his hands, standing in front of a crowd with orange vests, likely at a political event.",a man wearing a tie,0.4831682443618774
0e4dc9d134,A man in a blue suit and a woman in a white blouse and black pants are walking through a cemetery with a young boy in a blue shirt following behind them.,a woman walking with a man in a blue suit,0.5835279226303101
018a7b5e23,"A memorial with flowers, candles, and signs in front of a brick wall with the name 'ROBB ELEMENTARY SCHOOL' and a welcoming sign.",a brick wall with a sign and flowers,0.6846401691436768
23d13df72f,"A man in a suit and tie with a red tie stands in front of a blurred background, and a woman in a plaid blazer stands in front of a microphone.",trump and kamal cruz,0.2489262819290161
1ba919aeda,"A woman with a blue lanyard around her neck is speaking into a microphone. She is wearing a patterned top and has short hair. The background is dark, and there is a black curtain behind her.",a woman with headphones on speaking into a microphone,0.6559441089630127
181e46b66d,"Two men in suits, one with a grey hairstyle and the other with a beard, are shown side by side. The background is blurred with a hint of green and yellow colors.","two men in suits and ties, one wearing a beard",0.783746063709259
0309b80898,"A man in a suit sits at a table with a microphone, gesturing with his right hand. In the background, there is a water bottle and a container with a pump.",a man in a suit and tie sitting at a table,0.6572291254997253
13985d89f6,"An older man with white hair, wearing a dark suit and red tie, stands behind a podium with the seal of the United States of America, gesturing with his right hand.",a man giving a speech at a podium,0.5083966255187988
2608e8f60c,"Three men in suits are shown from the shoulders up, with the central figure speaking into a microphone.","four men in suits and ties, one with a microphone",0.715721070766449
1b2f33d3a0,"An image of the United Nations Security Council chamber with a large screen displaying the voting results for lowering the flag to half-mast in honor of the deceased Iranian President. The chamber is filled with delegates seated at their desks, and the atmosphere appears solemn.",a large room filled with people sitting at tables,0.146168053150177
06108adac7,A bald man with a red tie stands in front of a blue backdrop with the International Criminal Court logo.,a man in a suit and tie with a red tie,0.536292314529419
204418b866,"A woman with a name tag 'Ms. Stefanie' is speaking into a microphone, with a dark background and another person partially visible.",a woman sitting at a table with a microphone,0.5068562626838684
19696b5998,"A sketch of a person with a tattoo on their back, standing in front of a pinkish background, with the name 'David DePape' written on the tattoo.",a courtroom sketch of a man with long hair and beards,0.4037967920303345
05d59c37af,"A man wearing a white shirt and a red and white striped beanie with the 'KC' logo is speaking into a microphone, with the 'KC' logo in the background.",a man wearing a red hat,0.294861376285553
0311e17c5b,"A bald man in a dark suit and glasses is seen from the side, with a serious expression.",a bald bald man wearing glasses and a suit,0.7638240456581116
2687122a25,"A woman with dark hair is speaking into a microphone, with a blurred background that suggests a formal setting, possibly a hearing or meeting.",a woman in a black shirt,0.3386942148208618
1ec6c6b2c1,"An elderly woman stands in front of a dilapidated building with a damaged window, a painting of a man on a horse, and various items scattered around, including a clock and bottles.",a man in a black jacket and a red hat,0.0488452464342117
2040ed04c7,"Three medical professionals in white lab coats are seen walking away from the camera, with one person's face blurred out. They are in front of a modern building with large windows, suggesting a professional setting.",a group of doctors walking down a street,0.566417396068573
070dbf6f16,"A crowd of people gathered outside a building, with some holding signs and flags, including a Palestinian flag. A statue of a person in a black outfit stands in the center. The atmosphere appears to be one of protest or demonstration.",a group of people walking down a street,0.2933162748813629
2f362b9b06,"A crowd of people, some holding signs and flags, are gathered in an urban setting, likely participating in a protest or demonstration. The signs read 'Hands off Rafah! Ceasefire Now!' and 'Solution Intifada Revolution Genocide'. The crowd is diverse, with individuals wearing various clothing and some wearing masks.",a crowd of people holding signs and flags,0.6256641149520874
1575ff3fe8,"A large gathering of people in a park with a prominent Palestinian flag and banners advocating for Palestinian rights, in front of a large building with classical architecture.",a group of people laying on the grass,0.2408781498670578
2d6a8f0edc,"An outdoor scene with a fenced area, trees, and a building in the background under a clear blue sky.",a field with a building in the background,0.6710924506187439
2d8c6092b5,"The image shows a webpage with a title '527 Explorer' by Ruth Talbot, Brandon Roberts, and Nat Lash, updated on June 18, 2024. It discusses political organizations known as 527s, which are not regulated by the Federal Election Commission and are not subject to FEC-style restrictions on donations. The text suggests that these organizations are spending more money, with an example given of $1 billion in 2022. Below the text, there is a search bar with the placeholder text 'Search for an organization, person or term' and an example search term 'Republican Governors Association, D.C. or Bloomberg'.",the error page for the error page,0.062693104147911
26766e9766,"A black and white image of two men, one with a tie and the other with a suit, with orange airplane icons around them.","two men in suits and ties, one wearing glasses",0.6531317234039307
2074ba4772,"A man in a blue suit stands in front of a podium with a microphone, gesturing with his hands, with a crowd of people in the background, some of whom are looking at him.",president trump speaks to reporters at the white house,0.3192309141159057
0df67ebba7,"A black and white photo of an empty classroom with desks and chairs, a sink, and a faucet. The room has a window with blinds, and there are various items on the desks.",a classroom with desks and chairs and a clock,0.6664870381355286
308a6f0cdb,"An image of a person walking on a street with American flags hanging from a pole, a peacock statue in the foreground, and a building with columns in the background.","a man walks past a statue of a dove in the town of new orleans, louisiana",0.4596752524375915
328d6c7b78,"A collage of four images: a kitchen with a microwave, a child in a blue shirt, a dirty sink with a plastic bag, and a tiled floor with a world map.","a col of a kitchen with a sink, a stove, a sink, a sink, a sink",0.5537163019180298
26641710f0,A young woman in a white top is shaking hands with a man in a black suit in an outdoor setting with trees and a clear sky.,a woman in a white shirt and black pants,0.3349717855453491
08119f4b03,"A woman stands in front of a white building with columns, wearing a black sleeveless dress, with an American flag kite in the background.",a woman in a black dress standing in front of a building,0.713120698928833
1a2ba4c803,"A collage of nine women with various hairstyles and clothing, all smiling and looking directly at the camera.",a group of women smiling and posing for a photo,0.6265938878059387
25c526261b,"A man in a suit and tie is speaking into a microphone, gesturing with his right hand. Behind him are flags and a blurred background of people, suggesting a formal event or press conference.",a man in a suit and tie is speaking,0.7733497619628906
0363137cf2,"A woman with dark hair and a blue top is seen from the side, with a blurred face, in front of a white background with a red, blue, and white striped flag.",a woman with long hair and a blue shirt,0.4948353469371795
1e0d69457b,A man in a blue suit is reaching into a box labeled 'Challenged Voter Project' in an office setting.,a man in a blue suit and tie is looking at a box,0.5922694802284241
2e9edb84b3,"An image showing a stone wall with the word 'SIOUX' carved into it, with a sign above that reads 'Oyate Health Center So That the People May Live'. The sky is overcast, and there are trees in the background.",a stone wall with a sign that says the state of georgia,0.4959292411804199
12fcd795ce,"A stylized illustration of a man with glasses and a mustache, set against a colorful background with red, blue, and yellow hues.",a painting of a man with glasses on,0.6387504935264587
2f8ed3e09c,A hand with red fingernails is writing on a lined notebook with a red pencil.,a hand holding a pen and writing on a piece of paper,0.6961537599563599
0fd241dd29,"A man with his hand on his chin, wearing a dark shirt, is the central figure in a monochrome image with a blurred background.",a man with a finger on his nose,0.4507592618465423
09b4488b89,"An orange flower with a yellow center and green leaves, placed on a grid-patterned background, with a small flower growing from a crack in the surface.",a flower is placed on a piece of paper,0.5823981165885925
089700e1f0,"A group of four individuals seated around a round table with a 'Washington Week with The Atlantic' sign in the background, all facing towards the camera with their faces blurred.",the view with the bbc presenter and presenter,0.276491105556488
2b264865ce,"An image of a person with a blurred face, wearing a grey shirt, with yellow crumpled paper bags in the foreground.",a yellow crumpled paper ball with a photo of a person holding a child,0.5484260320663452
0a39c4d4e6,"Two individuals in blue medical scrubs are seen through a glass window, one appears to be adjusting the other's hair.",a nurse looks out the window of a hospital,0.4473640918731689
02e2360dd0,"A red baseball cap with a cage-like design on the front, set against a black background.",a red hat with a bird cage on it,0.6749051809310913
22049e6386,The front page of 'The Daily News' with a bold headline and a partially visible image of a person with a blurred face.,"the daily newspaper, with a cross on the front",0.5744581818580627
11d0b5dbd7,A Google logo is seen through a pair of glasses on a red background.,google logo with a stel,0.5815044045448303
0231281a6c,"A blurred image of a person with a dark background, possibly a woman, with a blue light source in the lower right corner.",a man ' s shadow is seen in the shadows of a building,0.3172337114810943
2facc4b734,"A hand-drawn image of a person with a white background, wearing a black top and white pants, holding a white umbrella.",a wind turbine on a green background,0.2566798031330108
151cc6d25b,A close-up of a person's back with a drawn smiley face on the skin.,a close up of a skin with a smiley face drawn on it,0.8474545478820801
2fdbca3403,"A collection of images including a knife, a pill, a dumbbell, a moon, an apple, a pill bottle, and a glass with a flower.",a series of six images of food and a fork,0.518883466720581
2a68a8710c,"A tabby cat with green eyes stands on a porch, looking at the camera with a curious expression. A person's hand is visible in the top left corner, suggesting interaction with the cat.",a cat standing on a porch next to a door,0.6685156226158142
01294703ca,A woman is seen painting a white wedding dress with floral embroidery in a room with large windows and a view of a city skyline.,a woman is painting a blanket on the floor,0.513664960861206
322017f1a9,A white dog with black spots stands in a yard with a grey metal fence and a grey tarp in the background.,a dog is standing in the dirt near a tree,0.6145084500312805
18317a54f2,A woman with a striped top and blue jeans sits in a room with a potted plant and a framed picture on the wall.,a woman with long hair and a blue shirt is shown in the image,0.4050590991973877
112820fcbc,The Supreme Court building with a clear blue sky and greenery in the foreground.,a large white building with columns and a large tree,0.4549977779388428
085afcb4fc,"A woman in a purple top stands in front of a white building with columns, looking to the side with a serious expression.",a woman with long brown hair,0.2608278393745422
2adb3fa844,"A man stands amidst the rubble of a destroyed building with debris scattered around, including large concrete slabs and broken wooden beams.","a man walks through the rubble of a house in the town of san, california",0.519831657409668
3005dc4c92,"A woman with a blurred face stands next to a man in a suit with a red tie, both are speaking at a podium with microphones.",a woman in a pink coat,0.1832981407642364
0a3afbd3bc,"A man in a white shirt and yellow tie is seen from the side, with his head turned away from the camera.",a man in a blue shirt and yellow tie,0.5572824478149414
206653fc61,"Barbra Streisand is pictured with a serious expression, wearing a red blazer and a black shirt, standing against a backdrop with 'Women in Entertainment' and 'American Airlines' logos.",martha miller at the american airlines gala,0.4133271276950836
08356bd174,A man carrying a woman on his back in a snowy park with a city skyline in the background.,a man and woman are on a skating rink,0.3385375440120697
1ebe4adc42,"A woman is shown with a surprised expression, holding a box labeled 'Häagen-Dazs Cream' with a price tag of $7.29, and a text overlay on the right side of the image stating 'Uber AI replaced my c*vid test with a pregnancy test'.",two women wearing glasses and one is holding a box of cream,0.3097991347312927
2f5901678a,"A young child is engaged in a playful activity with a wooden toy set, which includes a variety of play food items such as fruits, vegetables, and a pretend kitchen setup.",a young boy playing with a wooden toy,0.708203136920929
1d6f845ca1,"An older man with a blurred face, wearing a black shirt, stands against a pink and orange gradient background.",a man with a beard and a black shirt smiles at the camera,0.395813912153244
0ac585b167,"An image of two individuals, one with dreadlocks and the other in a suit, against a red background.",a man and a woman are posing for a picture,0.4227739572525024
08a8c080a0,"A man in a suit is speaking at a table with a microphone, with another man in the background, in a formal setting.",a man in a suit and tie sitting at a table,0.5605878233909607
2625545aec,"An image of a CNN Presidential Debate with a man and a woman standing behind a barrier, with the CNN logo and the words 'PRESIDENTIAL DEBATE' visible.",a man and woman walking past a sign that says presidential debate,0.5891602635383606
1e90a06f55,"A person holds a sign that says 'DRIVELL WAS RIGHT' in a crowd of people, some of whom are wearing masks and one wearing a red jacket with 'ACAB' on it.",a group of people holding up signs in the air,0.508804440498352
29ff3655b7,A carousel ride with multiple levels and brightly colored lights against a clear blue sky.,a metal ferris,0.2634732127189636
2817e6cc63,"A black dog with a blue collar is seen lying on grass with its mouth open, showing teeth, and a caption about celebrating Mozart's first chemotherapy session is overlaid.",two dogs are seen in this composite image,0.3785399198532104
2e43978946,A man in a blue surgical cap and glasses is shown with a text overlay that reads '4 Things I Would Absolutely Avoid as a Neurosurgeon'.,four people are talking and laughing in a video,0.1345224827528
09b63ab8f1,"A close-up of a white envelope with a red ribbon and a red wax seal, placed on top of a stack of similar envelopes.",a close up of a wedding invitation with a red ribbon,0.4814759492874145
0122d6dc0b,"A man in a suit stands at a podium with a microphone, addressing an audience. There are two women in the background, one of whom is looking at the speaker. The setting appears to be a formal event, possibly a conference or a press conference.",a man in a suit and tie speaking at a podium,0.7143253087997437
1676b23478,"A clear glass coffee cup with a dark liquid, likely coffee, on a saucer.",a cup of coffee on a saucer,0.7727347612380981
23efc920f5,A woman holding a baby with a caption 'things that are illegal to say to pregnant people' and 'NOPE' below her.,a woman holding a baby in her arms,0.5860486030578613
13d3e69dc7,"Two individuals, one in a black robe and the other in a blue suit with a red tie, are seated at a desk with a laptop and microphone, suggesting a formal setting, possibly a courtroom or a meeting.",a man in a suit and tie sitting at a desk,0.4795933961868286
0aee4715df,"A woman with blonde hair, wearing a polka-dotted dress, stands with her hands clasped in front of her, speaking into a microphone.",melbak melbak melbak melbak melbak melbak melba,0.0754277035593986
0283290f61,"A string of beads spelling 'FRIENDS FOREVER' lies on grass with daisies around, and a purple bead with '4EVER' written on it.",a pink cord with letters spelling love on it,0.4355561137199402
0b16d0a88d,"The image shows the logo of Pornhub, which is predominantly white text on a black background, with an orange square logo to the right.",a sign that says pornhu,0.6637100577354431
01987802d3,Two women in a nail salon with one receiving a manicure and the other consulting a nail technician.,two women sitting at a table,0.3543483912944793
2eb6613d70,A silhouette of a person with a hat looking towards the sunset.,a person with a hat on looking at the sun,0.8584937453269958
224b5a383d,"Two individuals are shown, one with a blurred face and a red tie, and the other with a microphone and glasses.",a woman with glasses and a man with a tie,0.5597643256187439
24e8461bb4,"A woman in a blue jacket with 'Governor' written on it is speaking into a microphone. Behind her is a banner with a red, white, and blue design featuring an eagle and the word 'REPUBLICANS'. There are people in the background, some of whom are looking at the speaker.",a woman holding a microphone in front of a crowd,0.5243345499038696
3262afa50e,A woman holding a baby with a caption about a traumatic birth experience.,a woman holding a baby in her arms,0.7039338946342468
04bc14313a,"Multiple clear glass bowls filled with a colorful salad, including greens, red onions, and yellow corn, on a white shelf.",a display of different types of salads,0.6669378280639648
28feb61452,"A man in a suit and tie stands at a podium with a microphone, speaking into it. Behind him, another man is partially visible, also dressed formally.",a man wearing a suit,0.557335615158081
2946089b3c,A Golden Retriever is seen using a baby stroller as a makeshift ramp to jump onto a person's lap.,a woman pushing a baby in a stroller,0.4741397798061371
1075b9c1ce,A couple decorates a wedding cake together at a table with a scenic mountain view in the background.,a couple cutting a cake on a table,0.6801455020904541
15381e72d9,"A silver Ford vehicle is being pushed through floodwaters by three men. The car is surrounded by water up to the windows, and the men are using a rope to pull it. In the background, a 'Palm' sign is visible, and the setting appears to be a residential area with a house and a tree partially submerged in water.",a man is trying to push a car in the rain,0.4103536307811737
1cdc21bcab,"A man in a suit stands at a podium with an American flag in the background, gesturing with his hands.",a man in a suit and tie speaking at a podium,0.641082763671875
08711ce915,"An image of a man with blurred face, wearing a black shirt, with a blurred background of indistinct figures.",a man with glasses and a black shirt,0.6092625260353088
2e005ab643,An older man with a yellow tie is speaking into a microphone. He is wearing a dark suit with a white shirt and a small American flag pin on his lapel.,a man in a suit and tie is making a funny face,0.4523476660251617
2c9f66f849,"A man in a cowboy hat and purple jacket with a 'USA' t-shirt sits in front of a pink background, possibly on a TV set.",a man in a cowboy hat and a photo of a man in a suit,0.5318788886070251
298bcfb558,A golden retriever is sleeping on a blue and white patterned dog bed.,a dog laying on a dog bed on the floor,0.6097629070281982
01599a9e7b,"A pregnant woman holds her belly with name cards attached, against a backdrop of question marks.",a woman holding a piece of paper with question marks on it,0.5706444978713989
22959f7610,"A person carrying a child on their back is walking on a path with a rocky, green hillside in the background.",a woman walking down a path with a backpack,0.510089099407196
2ca6adc3dc,"A large shark swims above a school of smaller fish in the ocean, with a teenager's face superimposed on the shark's mouth.",a large white shark swimming in the ocean,0.6015969514846802
1decd6c3ea,"Two men in suits with one pointing at the other, both with blurred faces, in a formal setting.",two men in suits and ties are standing next to each other men,0.5686506032943726
00c0df3bba,"A man in a dark suit and tie stands outdoors, with a blurred background that includes a car and foliage.",a man in a suit and tie walking by a car,0.643156886100769
09f6e1f44b,"A man in a blue suit and red hat stands on a red carpet in front of a crowd of people, some holding signs, with a large screen displaying a crowd in the background.",a man in a suit and tie standing on a red carpet,0.6421629190444946
08fcdd0cc7,"An aerial view of a city with a large parking lot, a marina with several boats, and a busy street with multiple vehicles and pedestrians.",a large city,0.5432432889938354
2226619783,"A close-up of purple flowers with green leaves, possibly from a California reservoir, with a blurred background.",a bunch of purple flowers sitting on top of green leaves,0.6394728422164917
07e890a683,"A man in a dark suit and red tie stands in front of a crowd, with a blurred face, and a small American flag pin on his lapel.",a man in a suit and tie is speaking to a crowd,0.5741796493530273
2527d25905,A man in a suit and sunglasses points to something in the distance with a group of soldiers in uniform behind him.,a man in a suit and tie,0.3904994130134582
2406a76b30,A man in a black shirt with 'American Vampire' printed on it stands next to a man in a blue suit with a red tie.,donald and the president,0.1843376159667968
1a305d618c,A graduation ceremony with a person in a cap and gown and another in a suit shaking hands.,a man in a graduation gown and a man in a red cap and gown,0.7284091711044312
2279d97c46,"Two women are engaged in a heated discussion, with one pointing at the other. The setting appears to be outdoors, and the woman being pointed at is wearing a white top and a pink cardigan, while the other is in a black sweater.",two women talking,0.6440802812576294
26205fb842,"A beagle dog with a harness sits on a gravel path, looking to the side with a pink ball attached to its collar.",a small dog sitting on the ground,0.4465680718421936
17bd23c586,A man in a dark suit with a blue tie and an American flag pin on his lapel stands in a room with other people in the background.,president donald trump walks through the capitol,0.1474301218986511
10c1d48f1e,"A man and a woman pose together on a red carpet, with the man wearing a black jacket and the woman in a blue dress with a floral pattern.",a man and woman posing for a picture on a red carpet,0.7923864126205444
044c67ccb7,"Two men in suits, one with a flag pin, the other waving, with an American flag in the background.",a man in a suit waving and a man in a suit waving,0.691952109336853
2e79a0428a,"A man in a suit stands in front of a 'Make America Great Again' hat, with a blurred background of a crowd wearing similar hats.",a man wearing a red hat and a man wearing a red hat,0.3718016743659973
09004241de,A woman with red hair and a black jacket smiles and says 'Carry' in a video call.,a woman with red hair and a black jacket,0.6387388706207275
08f21fad0d,"A person's hand is holding a gun, with several other guns laid out on a table.",a person holding a gun and a pair of scissors,0.625719428062439
1ee629735f,A woman with a black eyebrow design that resembles a caterpillar.,a woman with a black eyeliner on her face,0.666739284992218
055cc09eb2,A group of people holding a sign that reads 'Parole Justice is Next!' with the People's Campaign logo at the bottom.,a woman holding a sign,0.3782562613487243
2a74a0b8b6,"A woman stands at a podium with multiple microphones labeled with various news outlets, including AP, WDR, and others, in a dimly lit room.",a woman standing in front of a microphone,0.6836971044540405
13c0c70cde,"A man in a blue suit salutes with his right hand, wearing a blue tie and a small American flag pin on his lapel.",a man in a suit and tie holding his hand to his face,0.5814723372459412
0652a000c6,"Two images of a bedroom with a bed and a window with curtains. The left image shows a white door with a sign on it, and the right image shows a bed with pillows and a laptop on it.",a bed and a laptop in a room,0.5800290107727051
2911954a1d,"Two dogs are seen from behind, one with a red collar looking out of a window.",a dog standing in front of a door,0.4640466272830963
2b555f14ea,"A man in a suit and tie stands in front of a blurred background, a woman in a black outfit stands in front of a blue backdrop, and a man in a suit with a red tie stands in front of a green background.",a man in a suit and tie next to a woman in a suit,0.6836099624633789
2146c634ae,"A man in a suit and tie stands in a room with other individuals, holding a piece of paper. The man's face is blurred.","president donald trump and his wife, melania, at the white house",0.1517532169818878
2614a67a8b,"An image of three men, one in a suit, one in a purple suit with a cowboy hat, and one in a black t-shirt with 'FEARED HOT' printed on it.",a man wearing a hat,0.3717489838600158
